Year,company,rating,date,rating_ffill,event,consecutive_nr_days,state,nr_flag,nr_reason,rating_numeric,base_risk,risk_score
2024-12,JejuAir,BBB,2024-12-01,BBB,,0,BBB,0,,9,0.1111111111111111,0.1111111111111111
2025-01,JejuAir,BBB,2025-01-01,BBB,,0,BBB,0,,9,0.1111111111111111,0.1111111111111111
2025-02,JejuAir,BBB,2025-02-01,BBB,,0,BBB,0,,9,0.1111111111111111,0.1111111111111111
2025-03,JejuAir,BBB,2025-03-01,BBB,,0,BBB,0,,9,0.1111111111111111,0.1111111111111111
2025-04,JejuAir,BBB,2025-04-01,BBB,,0,BBB,0,,9,0.1111111111111111,0.1111111111111111
2025-05,JejuAir,BBB,2025-05-01,BBB,,0,BBB,0,,9,0.1111111111111111,0.1111111111111111
2025-06,JejuAir,BBB,2025-06-01,BBB,,0,BBB,0,,9,0.1111111111111111,0.1111111111111111
2025-07,JejuAir,BBB,2025-07-01,BBB,,0,BBB,0,,9,0.1111111111111111,0.1111111111111111
2025-08,JejuAir,BBB,2025-08-01,BBB,,0,BBB,0,,9,0.1111111111111111,0.1111111111111111
2025-09,JejuAir,BBB,2025-09-01,BBB,,0,BBB,0,,9,0.1111111111111111,0.1111111111111111
2025-10,JejuAir,BBB,2025-10-01,BBB,,0,BBB,0,,9,0.1111111111111111,0.1111111111111111
2025-11,JejuAir,BBB,2025-11-01,BBB,,0,BBB,0,,9,0.1111111111111111,0.1111111111111111
2025-12,JejuAir,BBB,2025-12-01,BBB,,0,BBB,0,,9,0.1111111111111111,0.1111111111111111
2024-01,KoreanAir,A-,2024-01-01,A-,,0,A-,0,,7,0.14285714285714285,0.14285714285714285
2024-02,KoreanAir,A-,2024-02-01,A-,,0,A-,0,,7,0.14285714285714285,0.14285714285714285
2024-03,KoreanAir,A-,2024-03-01,A-,,0,A-,0,,7,0.14285714285714285,0.14285714285714285
2024-04,KoreanAir,A-,2024-04-01,A-,,0,A-,0,,7,0.14285714285714285,0.14285714285714285
2024-05,KoreanAir,A-,2024-05-01,A-,,0,A-,0,,7,0.14285714285714285,0.14285714285714285
