Year,KoreanAir,AsianaAirlines,JejuAir,TwayAir,AirBusan
2010,A,BBB+,NR,NR,NR
2011,A,BBB+,NR,NR,NR
2012,A,BBB+,NR,NR,NR
2013,A,BBB+,NR,NR,NR
2014,BBB+,BBB+,NR,NR,NR
2015,BBB+,BBB+,BBB+,NR,BBB+
2016,BBB,BBB-,NR,NR,BBB-
2017,BBB,BBB-,NR,NR,AA
2018,BBB+,BBB-,BBB+,NR,BBB-
2019,BBB+,BBB-,NR,BB-,BBB-
2020,BBB+,BBB-,BBB,NR,NR
2021,A-,BBB-,BBB,BB-,NR
2022,A-,BBB-,BBB,BB-,NR
2023,A-,BBB-,BBB,BB-,NR
2024,A-,BBB-,BBB,NR,NR
2025,A,BBB-,BBB,B+,NR
